timestamp,market,side,qty,ask_price,vwap_price,fill_price,cost,fee_pct,order_type,ask_age_ms,levels_walked,is_snipe,yes_qty,no_qty,pair_cost,skew,time_remaining,zone,obi,flow_pressure,sweep,sweep_side,opposite_ask,best_bid,spread,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,slippage_cents,time_to_hedge_s,unhedged_usd,mode
2026-03-03 00:00:10,BTC Up/Down 5m — 00:00-00:05 UTC,YES,4.0,0.4300,0.4300,0.4366,1.7463,1.53%,TAKER,212,1,NO,4.0,0.0,0.0000,1.000,290,Value,0.745,0.148,YES,NO,0.5800,0.4200,0.0100,44928,44146,44146,44928,+0.00,N/A,1.75,LIVE
2026-03-03 00:00:30,BTC Up/Down 5m — 00:00-00:05 UTC,NO,4.0,0.4400,0.4400,0.4468,1.7871,1.54%,TAKER,254,1,NO,4.0,4.0,0.8834,0.000,270,Value,0.782,0.782,YES,NO,0.5800,0.4200,0.0200,51103,44725,44725,51103,+0.00,20.5,0.00,LIVE
2026-03-03 00:00:31,BTC Up/Down 5m — 00:00-00:05 UTC,NO,4.0,0.4300,0.4300,0.4366,1.7463,1.53%,TAKER,292,1,NO,4.0,8.0,0.8783,0.333,269,Value,0.912,0.782,YES,NO,0.6000,0.4000,0.0300,50894,42776,42776,50894,+0.00,21.5,1.77,LIVE
2026-03-03 00:02:07,BTC Up/Down 5m — 00:00-00:05 UTC,YES,5.0,0.3500,0.3500,0.3550,1.7749,1.42%,TAKER,246,1,NO,9.0,8.0,0.8329,0.059,172,Sniper,0.662,0.613,NO,,0.6600,0.3400,0.0100,31919,40305,40305,31919,+0.00,98.8,0.39,LIVE
2026-03-03 00:02:13,BTC Up/Down 5m — 00:00-00:05 UTC,YES,5.0,0.3500,0.3500,0.3550,1.7749,1.42%,TAKER,5712,1,YES,14.0,8.0,0.8200,0.273,167,Sniper,0.736,0.620,YES,NO,0.6600,0.3400,0.0100,32125,40239,40239,32125,+0.00,104.2,2.27,LIVE
2026-03-03 00:02:56,BTC Up/Down 5m — 00:00-00:05 UTC,NO,4.0,0.4400,0.4400,0.4468,1.7871,1.54%,TAKER,209,1,NO,14.0,12.0,0.8217,0.077,123,Value,0.335,0.670,YES,YES,0.5800,0.4200,0.0200,35445,27313,27313,35445,+0.00,166.9,0.76,LIVE
2026-03-03 00:02:58,BTC Up/Down 5m — 00:00-00:05 UTC,NO,4.0,0.4100,0.4100,0.4162,1.6648,1.51%,TAKER,790,1,NO,14.0,16.0,0.8149,0.067,121,Value,0.440,0.625,NO,,0.6000,0.4000,0.0100,37313,28191,28191,37313,+0.00,168.8,0.87,LIVE
2026-03-03 00:03:00,BTC Up/Down 5m — 00:00-00:05 UTC,NO,5.0,0.3700,0.3700,0.3754,1.8770,1.46%,TAKER,204,1,NO,14.0,21.0,0.8003,0.200,119,Value,0.714,0.649,NO,,0.6400,0.3600,0.0100,36873,28977,28977,36873,+0.00,171.0,2.95,LIVE
2026-03-03 00:03:02,BTC Up/Down 5m — 00:00-00:05 UTC,NO,5.0,0.3800,0.3800,0.3856,1.9280,1.47%,TAKER,1384,1,NO,14.0,26.0,0.7933,0.300,117,Value,0.572,0.650,NO,,0.6300,0.3700,0.0100,36698,29480,29480,36698,+0.00,173.1,4.98,LIVE
2026-03-03 00:05:13,BTC Up/Down 5m — 00:05-00:10 UTC,YES,4.0,0.4300,0.4300,0.4366,1.7463,1.53%,TAKER,2580,1,NO,4.0,0.0,0.0000,1.000,286,Value,0.379,0.410,YES,NO,0.5800,0.4200,0.0100,43290,47481,47481,43290,+0.00,N/A,1.75,LIVE
2026-03-03 00:07:42,BTC Up/Down 5m — 00:05-00:10 UTC,YES,4.0,0.4100,0.4100,0.4162,1.6648,1.51%,TAKER,66653,1,NO,8.0,0.0,0.0000,1.000,137,Value,0.566,0.460,NO,,0.6000,0.4000,0.0100,44632,47659,47659,44632,+0.00,N/A,3.41,LIVE
2026-03-03 00:07:45,BTC Up/Down 5m — 00:05-00:10 UTC,YES,5.0,0.3900,0.3900,0.3958,1.9790,1.49%,TAKER,204,1,NO,13.0,0.0,0.0000,1.000,134,Value,0.309,0.445,NO,,0.6200,0.3800,0.0100,33970,40027,40027,33970,+0.00,N/A,5.39,LIVE
2026-03-03 00:08:07,BTC Up/Down 5m — 00:05-00:10 UTC,NO,4.0,0.4400,0.4400,0.4468,1.7871,1.54%,TAKER,207,1,NO,13.0,4.0,0.8614,0.529,113,Value,0.575,0.396,YES,NO,0.5800,0.4200,0.0200,35408,33595,33595,35408,+0.00,175.0,3.73,LIVE
2026-03-03 00:08:09,BTC Up/Down 5m — 00:05-00:10 UTC,NO,4.0,0.4300,0.4300,0.4366,1.7463,1.53%,TAKER,703,1,NO,13.0,8.0,0.8563,0.238,111,Value,0.562,0.398,YES,NO,0.5800,0.4200,0.0100,36703,33228,33228,36703,+0.00,176.8,2.07,LIVE
2026-03-03 00:08:11,BTC Up/Down 5m — 00:05-00:10 UTC,NO,4.0,0.4300,0.4300,0.4366,1.7463,1.53%,TAKER,2708,1,NO,13.0,12.0,0.8546,0.040,109,Value,0.654,0.387,NO,,0.5800,0.4200,0.0100,36697,33355,33355,36697,+0.00,178.9,0.41,LIVE
