timestamp,market,yes_qty,yes_avg_cost,no_qty,no_avg_cost,completed_pairs,unmatched_qty,unmatched_side,avg_pair_cost,total_capital,winner,pair_profit,gamble_result,net_pnl,num_buys,cumulative_pnl,fills_attempted,fills_rejected,rejection_rate,dead_zone_blocks,cap_exhausted_at_s,max_unhedged_usd,avg_hedge_time_s,sniper_fills,value_fills,panic_fills,avg_slippage_cents,mode
2026-03-02 19:15:53,BTC Up/Down 5m — 19:10-19:15 UTC,12,0.3346,12,0.9559,12,0,NONE,1.2905,15.49,NO,-3.4859,-0.0000,-3.4859,4,-3.4859,164,160,97.6%,66625,N/A,4.01,252.0,1,0,3,+0.00,LIVE
2026-03-02 19:20:47,BTC Up/Down 5m — 19:15-19:20 UTC,0,0.0000,18,0.4213,0,18,NO,0.0000,7.58,NO,+0.0000,+10.4167,+10.4167,2,+6.9307,386,384,99.5%,48805,N/A,7.58,N/A,0,2,0,+0.00,LIVE
2026-03-02 19:25:54,BTC Up/Down 5m — 19:20-19:25 UTC,54,0.4419,39,0.4002,39,15,YES,0.8421,39.47,NO,+6.1568,-6.6283,-0.4715,10,+6.4592,316,305,96.5%,39211,244,8.04,123.2,0,2,8,+0.00,LIVE
2026-03-02 19:30:46,BTC Up/Down 5m — 19:25-19:30 UTC,34,0.3373,26,0.5822,26,8,YES,0.9195,26.60,NO,+2.0940,-2.6981,-0.6041,7,+5.8551,321,312,97.2%,46231,N/A,3.90,129.4,3,0,4,+0.00,LIVE
2026-03-02 19:35:47,BTC Up/Down 5m — 19:30-19:35 UTC,36,0.6476,36,0.4315,36,0,NONE,1.0791,38.85,NO,-2.8464,+0.0000,-2.8464,10,+3.0087,215,205,95.3%,43574,N/A,7.54,116.8,1,5,4,+0.00,LIVE
2026-03-02 20:01:34,BTC Up/Down 5m — 19:55-20:00 UTC,20,0.7340,18,0.4468,18,2,YES,1.1808,22.72,YES,-3.2545,+0.5319,-2.7225,6,-2.7225,160,152,95.0%,62353,N/A,8.04,152.4,0,2,4,+0.00,LIVE
2026-03-02 20:06:34,BTC Up/Down 5m — 20:00-20:05 UTC,0,0.0000,19,0.4055,0,19,NO,0.0000,7.70,NO,+0.0000,+11.2962,+11.2962,2,+8.5737,385,383,99.5%,25475,N/A,7.70,N/A,0,2,0,+0.00,LIVE
2026-03-02 20:10:58,BTC Up/Down 5m — 20:05-20:10 UTC,14,0.2733,0,0.0000,0,14,YES,0.0000,3.83,NO,+0.0000,-3.8266,-3.8266,1,+4.7471,93,92,98.9%,27813,N/A,3.83,N/A,1,0,0,+0.00,LIVE
2026-03-02 20:15:16,BTC Up/Down 5m — 20:10-20:15 UTC,23,0.1724,0,0.0000,0,23,YES,0.0000,3.96,NO,+0.0000,-3.9648,-3.9648,1,+0.7823,29,28,96.6%,48508,N/A,3.96,N/A,1,0,0,+0.09,LIVE
2026-03-02 20:20:47,BTC Up/Down 5m — 20:15-20:20 UTC,0,0.0000,18,0.4366,0,18,NO,0.0000,7.86,YES,+0.0000,-7.8586,-7.8586,2,-7.0762,50,48,96.0%,53527,N/A,7.86,N/A,0,2,0,+0.00,LIVE
2026-03-02 20:26:34,BTC Up/Down 5m — 20:20-20:25 UTC,11,0.3550,18,0.4315,11,7,NO,0.7865,11.67,YES,+2.3489,-3.0204,-0.6716,3,-7.7478,367,363,98.9%,35617,N/A,7.77,26.3,1,2,0,+0.00,LIVE
2026-03-02 20:31:39,BTC Up/Down 5m — 20:25-20:30 UTC,29,0.6191,27,0.4366,27,2,YES,1.0556,29.74,YES,-1.5025,+0.7619,-0.7407,8,-8.4885,574,565,98.4%,35319,N/A,6.11,86.9,1,3,4,+0.00,LIVE
2026-03-02 20:35:32,BTC Up/Down 5m — 20:30-20:35 UTC,0,0.0000,10,0.3754,0,10,NO,0.0000,3.75,YES,+0.0000,-3.7539,-3.7539,1,-12.2424,180,179,99.4%,33396,N/A,3.75,N/A,0,1,0,+0.00,LIVE
2026-03-02 20:41:34,BTC Up/Down 5m — 20:35-20:40 UTC,28,0.6701,27,0.4366,27,1,YES,1.1067,30.55,YES,-2.8817,+0.3299,-2.5518,8,-14.7942,317,309,97.5%,43034,N/A,6.55,124.6,1,3,4,+0.00,LIVE
2026-03-02 20:46:34,BTC Up/Down 5m — 20:40-20:45 UTC,0,0.0000,15,0.2631,0,15,NO,0.0000,3.95,NO,+0.0000,+11.0531,+11.0531,1,-3.7411,242,241,99.6%,31132,N/A,3.95,N/A,1,0,0,+0.00,LIVE
2026-03-02 20:51:34,BTC Up/Down 5m — 20:45-20:50 UTC,0,0.0000,11,0.3448,0,11,NO,0.0000,3.79,NO,+0.0000,+7.2075,+7.2075,1,+3.4664,78,77,98.7%,13215,N/A,3.79,N/A,1,0,0,+0.00,LIVE
2026-03-02 20:56:40,BTC Up/Down 5m — 20:50-20:55 UTC,41,0.4644,27,0.4434,27,14,YES,0.9078,31.01,YES,+2.4903,+7.4986,+9.9889,8,+13.4553,689,680,98.7%,38038,N/A,6.65,91.5,1,4,3,+0.00,LIVE
2026-03-02 21:01:34,BTC Up/Down 5m — 20:55-21:00 UTC,11,0.3550,0,0.0000,0,11,YES,0.0000,3.90,NO,+0.0000,-3.9047,-3.9047,1,+9.5506,88,87,98.9%,40999,N/A,3.90,N/A,1,0,0,+0.00,LIVE
2026-03-02 21:06:25,BTC Up/Down 5m — 21:00-21:05 UTC,42,0.3812,31,0.4872,31,11,YES,0.8684,31.11,NO,+4.0808,-4.1931,-0.1122,8,+9.4383,169,161,95.3%,35767,N/A,5.72,70.2,1,6,1,+0.00,LIVE
2026-03-02 21:10:57,BTC Up/Down 5m — 21:05-21:10 UTC,0,0.0000,23,0.1715,0,23,NO,0.0000,3.94,YES,+0.0000,-3.9445,-3.9445,1,+5.4938,160,159,99.4%,20201,N/A,3.94,N/A,1,0,0,+0.00,LIVE
2026-03-02 21:16:29,BTC Up/Down 5m — 21:10-21:15 UTC,24,0.3192,38,0.4103,24,14,NO,0.7295,23.25,YES,+6.4911,-5.7441,+0.7470,6,+6.2408,648,642,99.1%,24204,N/A,5.74,89.1,2,1,3,+0.00,LIVE
2026-03-02 21:21:34,BTC Up/Down 5m — 21:15-21:20 UTC,19,0.4055,5,0.6992,5,14,YES,1.1047,11.20,NO,-0.5234,-5.6765,-6.1999,3,+0.0409,94,90,95.7%,40115,N/A,7.70,177.4,0,2,1,+0.00,LIVE
2026-03-02 21:26:34,BTC Up/Down 5m — 21:20-21:25 UTC,18,0.4315,36,0.4366,18,18,NO,0.8681,23.48,NO,+2.3747,+10.1415,+12.5162,6,+12.5571,193,187,96.9%,26776,N/A,7.86,19.1,0,6,0,+0.00,LIVE
2026-03-02 21:31:40,BTC Up/Down 5m — 21:25-21:30 UTC,25,0.4381,26,0.4432,25,1,NO,0.8813,22.48,YES,+2.9671,-0.4432,+2.5239,6,+15.0810,559,553,98.9%,36970,N/A,6.72,108.8,1,0,5,+0.00,LIVE
2026-03-02 21:36:34,BTC Up/Down 5m — 21:30-21:35 UTC,27,0.3018,29,0.3951,27,2,NO,0.6969,19.61,NO,+8.1850,+1.2098,+9.3948,5,+24.4758,161,154,95.7%,34193,N/A,5.14,99.8,1,3,1,+0.10,LIVE
