timestamp,market,token,action,price,confidence,signal_type,reason,acted_on
2026-03-03 18:41:55,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 18:43:12,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 18:43:12,Will Atletico Madrid win the 2025–26 La Liga?,YES,SELL,0.0050,60,whale,"Whale sold 3,044 @ 0.22 ($667) — big player exiting",NO
2026-03-03 18:44:02,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 18:44:48,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,NO
2026-03-03 18:54:08,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 18:54:53,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 19:19:36,Will Atletico Madrid win the 2025–26 La Liga?,YES,SELL,0.0050,60,whale,"Whale sold 3,061 @ 0.22 ($670) — big player exiting",NO
2026-03-03 19:29:00,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 19:29:58,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
2026-03-03 19:35:46,Will Atletico Madrid win the 2025–26 La Liga?,YES,BUY,0.0060,74,imbalance,Book 99% bid-heavy + aggressive buying — one-sided pressure,YES
